OFF_FISICO,OFF_SPECIALE,TANK_FISICO,TANK_SPECIALE,Archetipo
96,96,96,96,Balanced
130,160,160,165,Attaccante
175,170,145,150,Attaccante
105,122,80,100,Balanced
165,105,165,150,Tank
124,124,183,193,Tank
184,107,136,116,Attaccante
195,160,125,175,Attaccante
145,110,180,180,Tank
88,81,107,95,Balanced
183,193,145,135,Attaccante
115,90,70,70,Balanced
160,160,145,155,Attaccante
100,125,135,140,Balanced
182,144,100,100,Attaccante
91,93,109,108,Balanced
148,125,145,145,Attaccante
100,50,140,70,Balanced
145,170,120,145,Attaccante
120,120,96,96,Balanced
190,215,180,175,Elite/Leggendario
85,130,95,140,Balanced
145,80,209,108,Tank
110,100,105,120,Balanced
110,55,90,90,Balanced
151,191,157,157,Attaccante
210,210,110,110,Attaccante
170,155,145,150,Attaccante
100,95,135,85,Balanced
208,158,160,135,Attaccante
200,155,125,135,Attaccante
60,40,100,80,Balanced
210,225,120,120,Attaccante
115,160,135,145,Attaccante
80,105,105,140,Balanced
125,125,230,230,Tank
145,140,75,85,Balanced
93,103,100,90,Balanced
200,200,200,200,Elite/Leggendario
97,127,101,152,Balanced
150,150,165,180,Tank
166,121,161,167,Tank
110,55,175,110,Balanced
125,118,107,114,Balanced
135,130,75,80,Balanced
100,108,100,100,Balanced
70,70,114,124,Balanced
117,117,98,98,Balanced
135,115,110,110,Balanced
119,119,88,88,Balanced
125,115,135,135,Balanced
135,110,120,75,Balanced
256,205,190,177,Elite/Leggendario
152,152,165,175,Tank
128,97,65,65,Balanced
114,114,90,90,Balanced
195,145,165,130,Attaccante
170,115,175,155,Tank
174,215,158,152,Attaccante
160,110,80,70,Balanced
165,140,185,180,Tank
195,162,155,155,Attaccante
156,183,121,118,Attaccante
118,111,137,125,Balanced
142,115,124,104,Balanced
140,165,175,180,Tank
130,100,130,180,Tank
119,119,127,127,Balanced
110,110,189,189,Tank
100,110,180,180,Tank
120,90,135,85,Balanced
50,40,105,75,Balanced
140,127,91,86,Balanced
130,140,90,90,Balanced
240,190,240,190,Elite/Leggendario
190,165,159,159,Attaccante
165,105,145,160,Attaccante
185,155,180,145,Attaccante
180,140,140,120,Attaccante
160,160,210,210,Tank
120,130,124,134,Balanced
170,190,135,135,Attaccante
60,85,123,103,Balanced
83,83,123,123,Balanced
210,175,120,110,Attaccante
169,159,180,180,Tank
160,160,160,160,Attaccante
75,125,135,90,Balanced
112,122,100,100,Balanced
110,110,210,210,Tank
180,237,181,181,Elite/Leggendario
75,95,70,120,Balanced
138,136,183,181,Tank
226,216,179,169,Elite/Leggendario
130,80,170,100,Balanced
90,90,105,120,Balanced
183,88,107,97,Balanced
105,86,100,100,Balanced
140,120,100,100,Balanced
120,108,79,77,Balanced
210,240,220,200,Elite/Leggendario
125,95,170,140,Tank
185,130,185,185,Tank
173,218,147,175,Elite/Leggendario
85,45,102,102,Balanced
50,125,85,95,Balanced
145,210,90,100,Attaccante
105,85,130,55,Balanced
145,110,110,110,Balanced
172,132,133,123,Attaccante
182,167,135,165,Attaccante
145,172,140,148,Attaccante
160,170,194,204,Tank
115,160,110,140,Attaccante
105,125,130,135,Balanced
80,105,100,110,Balanced
220,200,165,165,Elite/Leggendario
210,240,200,220,Elite/Leggendario
80,125,203,163,Tank
120,160,165,180,Tank
100,125,125,130,Balanced
170,225,155,160,Elite/Leggendario
190,190,270,270,Elite/Leggendario
75,100,95,100,Balanced
162,137,129,129,Attaccante
60,34,135,130,Balanced
135,110,140,140,Attaccante
158,132,120,140,Attaccante
223,123,157,147,Attaccante
101,91,80,75,Balanced
232,182,203,193,Elite/Leggendario
110,90,100,100,Balanced
70,97,90,98,Balanced
175,145,148,118,Attaccante
79,79,87,87,Balanced
226,236,149,159,Elite/Leggendario
145,160,200,200,Tank
40,40,90,90,Balanced
95,115,205,210,Tank
75,65,80,65,Balanced
200,200,200,200,Elite/Leggendario
115,95,79,89,Balanced
130,130,70,70,Balanced
153,98,100,105,Balanced
170,170,205,205,Tank
107,85,129,114,Balanced
146,171,172,185,Tank
155,200,100,205,Attaccante
130,100,215,135,Tank
170,135,162,162,Attaccante
175,240,120,135,Attaccante
165,210,120,165,Attaccante
145,100,230,165,Tank
167,207,197,197,Elite/Leggendario
200,130,140,120,Attaccante
145,160,165,190,Tank
140,105,245,210,Tank
84,136,201,211,Tank
117,125,82,89,Balanced
165,100,210,145,Tank
91,101,106,109,Balanced
115,150,160,130,Attaccante
115,110,85,80,Balanced
112,82,103,103,Balanced
155,125,110,110,Balanced
70,60,90,70,Balanced
95,150,60,110,Balanced
155,115,180,205,Tank
145,100,115,85,Balanced
130,98,105,95,Balanced
188,193,122,150,Attaccante
165,155,165,165,Attaccante
250,210,106,111,Attaccante
158,153,82,100,Attaccante
94,110,94,110,Balanced
85,100,75,80,Balanced
165,165,133,133,Attaccante
221,231,159,169,Elite/Leggendario
145,120,109,109,Balanced
65,85,53,63,Balanced
210,180,135,135,Attaccante
150,180,150,100,Attaccante
180,180,170,170,Attaccante
115,95,130,95,Balanced
190,240,190,240,Elite/Leggendario
140,115,70,70,Balanced
130,130,165,165,Tank
170,178,180,165,Attaccante
190,225,175,180,Elite/Leggendario
90,45,175,220,Tank
